Source,Target
214B,Domestic_Animals_200_AI219
214B,Domestic_Animals_200_AI219
214B,J951.1
214B,K362.5
1807B,Other_Jokes_about_Religious_Figures_1800_AI1849
1807B,Other_Jokes_about_Religious_Figures_1800_AI1849
1807B,J1161.5
1807B,256
1807B,545
1807B,1226
1631*,The_Clever_Man_1525_AI1639
1631*,The_Clever_Man_1525_AI1639
1631*,T92.12.1
1559A*,The_Clever_Man_1525_AI1639
1559A*,The_Clever_Man_1525_AI1639
1559A*,N73
2075,106
2075,106
1832G*,1833D
1832G*,1833D
1833E,Other_Jokes_about_Religious_Figures_1800_AI1849
1833E,Other_Jokes_about_Religious_Figures_1800_AI1849
1833E,625
1833E,1574
1291D,Stories_about_a_Fool_1200_AI1349
1291D,Stories_about_a_Fool_1200_AI1349
1291D,1291**
1291D,1291**
1291D,J1881.2
1291D,J1881.1
1161,Man_Outwits_the_Devil_1155_AI1169
1161,Man_Outwits_the_Devil_1155_AI1169
1161,957
1161,957
1161,F441.1
1161,K1728
1161,K1728
1161,351
1161,906
1161,2530
851,The_Man_Marries_the_Princess_850_AI869
851,The_Man_Marries_the_Princess_850_AI869
851,851A
851,851A
851,876
851,876
851,D1233
851,H342
851,H551
851,H551
851,H81.2
851,H81.2
851,H117
851,H117
851,H565
851,H565
851,H734
851,H540.2
851,H762
851,H721.1
851,H792
851,H792
851,H802
851,H802
851,H805
851,H901
851,K1331
851,D1395.3
851,H507.1.0.1
851,D1395.2
851,R169.4
851,R116
851,D1153.1
851,D1395.1
851,N332.2
851,382
851,712
851,751
851,816
851,979
851,1359
851,1417
851,1521
851,1714
851,1789
851,1840
851,1953
851,2113
851,2143
851,2196
851,2502
851,2512
851,2557
1785B,Clergyman_and_Sexton_1775_AI1799
1785B,Clergyman_and_Sexton_1775_AI1799
1785B,1836*
1785B,1836*
1785B,X411.2
1785B,X411.2
185,Wild_Animals_and_Humans_150_AI199
185,Wild_Animals_and_Humans_150_AI199
1420B,The_Foolish_Husband_and_his_Wife_1405_AI1429
1420B,The_Foolish_Husband_and_his_Wife_1405_AI1429
1420B,K1581.2
425C,Husband_425_AI449
425C,Husband_425_AI449
425C,425H
425C,425H
425C,M210
425C,S228
425C,S221.1
425C,S222
425C,S222
425C,C761.2
425C,L221
425C,D735.1
425C,59
425C,390
425C,477
425C,479
425C,769
425C,1116
425C,1697
425C,2226
425C,2243
1456*,Looking_for_a_Wife_1450_AI1474
1456*,Looking_for_a_Wife_1450_AI1474
1456*,J1169.1
1347*,Stories_about_a_Fool_1200_AI1349
1347*,Stories_about_a_Fool_1200_AI1349
1173A,Souls_Saved_from_the_Devil_1170_AI1199
1173A,Souls_Saved_from_the_Devil_1170_AI1199
1173A,K175
962**,Robbers_and_Murderers_950_AI969
962**,Robbers_and_Murderers_950_AI969
822*,The_Devil_810_AI826
822*,The_Devil_810_AI826
822*,K231.4
822*,K231.4
1920G,Tall_Tales_1875_AI1999
1920G,Tall_Tales_1875_AI1999
1920G,X1282.1
934D,Tales_of_Fate_930_AI949
934D,Tales_of_Fate_930_AI949
934D,N121.1.1
130,Wild_Animals_and_Domestic_Animals_100_AI149
130,Wild_Animals_and_Domestic_Animals_100_AI149
130,N776
130,N776
130,K335.1.4
130,K335.1.4
130,K1161
130,K1161
130,B296
130,B296
130,149
130,202
130,224
130,336
130,555
130,580
130,718
130,905
130,1089
130,1298
130,1528
130,1533
130,1606
130,1822
130,1889
130,1908
130,1948
130,2244
130,2543
130,2566
130,2893
243*,Birds_220_AI249
243*,Birds_220_AI249
243*,J953.7
507,Supernatural_Helpers_500_AI559
507,Supernatural_Helpers_500_AI559
507,507A
507,507A
507,507C
507,507C
507,507B
507,507B
507,L161
507,D711
507,Q271.1
507,E341
507,T172.2.1
507,T172.0.1
507,D766.1
507,M241.1
507,H322.1
507,M241
507,D831
507,D766.4
507,D711.2
736A,Other_Tales_of_the_Supernatural_700_AI749
736A,Other_Tales_of_the_Supernatural_700_AI749
736A,N211.1
302A,462
302A,462
770,God_Rewards_and_Punishes_750_AI779
770,God_Rewards_and_Punishes_750_AI779
770,K1841.1
770,K1841.1
559,Supernatural_Helpers_500_AI559
559,Supernatural_Helpers_500_AI559
559,L161
559,L161
559,F591
559,T171
559,B571
559,H341
559,H341
559,T68
559,B582.2
559,B582.2
559,B482.2
559,B482.2
559,H1194
559,H982
559,B350
559,D1415.2.5
559,D1233
559,B481.5
559,D1203
559,B481.4
559,D1395
559,2475
559,2835
30,The_Clever_Fox_(Other_Animal)_1_AI69
30,The_Clever_Fox_(Other_Animal)_1_AI69
30,1795
944*,Tales_of_Fate_930_AI949
944*,Tales_of_Fate_930_AI949
944*,W25
944*,W25
1920C,Tall_Tales_1875_AI1999
1920C,Tall_Tales_1875_AI1999
1920C,X905.1
1920C,X905.1
1920C,432
1920C,855
157,Wild_Animals_and_Humans_150_AI199
157,Wild_Animals_and_Humans_150_AI199
157,J17
157,J17
157,J32
157,2577
1394,The_Foolish_Wife_and_her_Husband_1380_AI1404
1394,The_Foolish_Wife_and_her_Husband_1380_AI1404
1394,J2112.1
1367,Stories_about_Married_Couples_1350_AI1439
1367,Stories_about_Married_Couples_1350_AI1439
1367,K1318
1367,1114
1545A,The_Clever_Man_1525_AI1639
1545A,The_Clever_Man_1525_AI1639
1545A,K1349
871*,The_Woman_Marries_the_Prince_870_AI879
871*,The_Woman_Marries_the_Prince_870_AI879
871*,K538
871*,H1376.5
871*,1073
1529B*,The_Clever_Man_1525_AI1639
1529B*,The_Clever_Man_1525_AI1639
1242B,1242A
1242B,1242A
1004,Labor_Contract_1000_AI1029
1004,Labor_Contract_1000_AI1029
1004,1525P
1004,1525P
1004,K404.1
1004,K404.1
1004,K404.2
1004,K404.2
1004,K404.3
1004,K404.3
1004,K404
1004,196
1004,1898
1004,2447
1004,2563
1004,2754
1360C,Stories_about_Married_Couples_1350_AI1439
1360C,Stories_about_Married_Couples_1350_AI1439
1360C,K1556
1360C,K1556
1360C,3
1360C,199
1360C,414
1360C,784
1360C,993
1360C,1115
1360C,2254
1360C,2642
1378B*,Stories_about_Married_Couples_1350_AI1439
1378B*,Stories_about_Married_Couples_1350_AI1439
169B*,169*
169B*,169*
1321C,Stories_about_a_Fool_1200_AI1349
1321C,Stories_about_a_Fool_1200_AI1349
1321C,J2614.1
1420D,The_Foolish_Husband_and_his_Wife_1405_AI1429
1420D,The_Foolish_Husband_and_his_Wife_1405_AI1429
1420D,K1581.4
1420D,2824
1572F*,The_Clever_Man_1525_AI1639
1572F*,The_Clever_Man_1525_AI1639
779A*,779
779A*,779
779A*,1447
779A*,1731
250A,Fish_250_AI253
250A,Fish_250_AI253
250A,A2252.4
250A,A2231.1.2
1804**,Other_Jokes_about_Religious_Figures_1800_AI1849
1804**,Other_Jokes_about_Religious_Figures_1800_AI1849
1562J*,The_Clever_Man_1525_AI1639
1562J*,The_Clever_Man_1525_AI1639
925*,Clever_Acts_and_Words_920_AI929
925*,Clever_Acts_and_Words_920_AI929
925*,J1472
925*,J1472
201G*,Domestic_Animals_200_AI219
201G*,Domestic_Animals_200_AI219
201G*,J874
1833H,Other_Jokes_about_Religious_Figures_1800_AI1849
1833H,Other_Jokes_about_Religious_Figures_1800_AI1849
1833H,X434.1
465A,465
465A,465
465A,D361.1.1
465A,D361.1
68**,48*
68**,48*
68**,J815.1
178,Wild_Animals_and_Humans_150_AI199
178,Wild_Animals_and_Humans_150_AI199
1275,Stories_about_a_Fool_1200_AI1349
1275,Stories_about_a_Fool_1200_AI1349
1275,J2333
1275,J2333
50A,The_Clever_Fox_(Other_Animal)_1_AI69
50A,The_Clever_Fox_(Other_Animal)_1_AI69
50A,J644.1
1148A,1147
1148A,1147
1148A,K1177
1821A,1821
1821A,1821
361*,Supernatural_Adversaries_300_AI399
361*,Supernatural_Adversaries_300_AI399
168,Wild_Animals_and_Humans_150_AI199
168,Wild_Animals_and_Humans_150_AI199
168,160A
168,160A
168,B848.1
168,K551.3.1
795,759D
795,759D
1250B,1250
1250B,1250
207A*,Domestic_Animals_200_AI219
207A*,Domestic_Animals_200_AI219
1823,Other_Jokes_about_Religious_Figures_1800_AI1849
1823,Other_Jokes_about_Religious_Figures_1800_AI1849
56E*,223
56E*,223
706D,Other_Tales_of_the_Supernatural_700_AI749
706D,Other_Tales_of_the_Supernatural_700_AI749
706D,D1622.3
1365E,Stories_about_Married_Couples_1350_AI1439
1365E,Stories_about_Married_Couples_1350_AI1439
1365E,1365H*
1365E,1365H*
1365E,1365I*
1365E,1365I*
1365E,1365J*
1365E,1365J*
1365E,1365E*
1365E,1365E*
1365E,1365F*
1365E,1365F*
1365E,1365K*
1365E,1365K*
1365E,1365D*
1365E,1365D*
1365E,1365G*
1475,X751
1475,X750
1548*,The_Clever_Man_1525_AI1639
1548*,The_Clever_Man_1525_AI1639
1548*,J1272
1548*,J1272
122B*,Wild_Animals_and_Domestic_Animals_100_AI149
122B*,Wild_Animals_and_Domestic_Animals_100_AI149
122B*,K562.1
1825C,Other_Jokes_about_Religious_Figures_1800_AI1849
1825C,Other_Jokes_about_Religious_Figures_1800_AI1849
1825C,K1961.1.3
1825C,K1961.1.3
1825C,557
1825C,668
1825C,1166
1825C,1169
1825C,2037
1960B,Tall_Tales_1875_AI1999
1960B,Tall_Tales_1875_AI1999
1960B,B874
1960B,X1301
1960B,X1301
1960B,117
1841,Other_Jokes_about_Religious_Figures_1800_AI1849
1841,Other_Jokes_about_Religious_Figures_1800_AI1849
1348**,Stories_about_a_Fool_1200_AI1349
1348**,Stories_about_a_Fool_1200_AI1349
1348**,X902
3*,The_Clever_Fox_(Other_Animal)_1_AI69
3*,The_Clever_Fox_(Other_Animal)_1_AI69
3*,K1022.3
1726*,1424
1726*,1424
2037A*,2034C
2037A*,2034C
112,Wild_Animals_and_Domestic_Animals_100_AI149
112,Wild_Animals_and_Domestic_Animals_100_AI149
112,J211.2
112,J211.2
1327,Stories_about_a_Fool_1200_AI1349
1327,Stories_about_a_Fool_1200_AI1349
1327,J2062.1
514,Supernatural_Helpers_500_AI559
514,Supernatural_Helpers_500_AI559
514,L161
514,D11
514,D11
514,K1837
514,K1837
514,H335
514,F601
514,H331
514,H331.5.1
514,K1322
514,F601.2
514,F601.4
514,H336
514,F601.1
514,221
514,374
514,1094
514,1313
514,2208
514,2551
425J,425B
425J,425B
1133,Man_Kills_(Injures)_Ogre_1115_AI1144
1133,Man_Kills_(Injures)_Ogre_1115_AI1144
1133,1134
1133,1134
1133,K1012.2
1133,K1012.1
1133,K1012.1
1133,K241
1133,K241
1133,878
1133,1674
567,Magic_Objects_560_AI649
567,Magic_Objects_560_AI649
567,H971.1
567,D1470.1
567,D132.1
567,D132.1
567,B113.1
567,B113.1
567,D1561.1.1
567,D1561.1.1
567,D965
567,D551.2
567,D551.2
567,D861.5
567,D661
567,D983
567,D983
567,M312.3
567,M312.3
567,D1015.1.1
567,D1015.4.1
567,D1011.0.1
567,138
567,499
567,1605
1001,Labor_Contract_1000_AI1029
1001,Labor_Contract_1000_AI1029
1001,D2186
1001,D2186
1199A,Souls_Saved_from_the_Devil_1170_AI1199
1199A,Souls_Saved_from_the_Devil_1170_AI1199
1199A,G303.17.1.1
1199A,K555.1.1
1199A,K555.1.2
887,Proofs_of_Fidelity_and_Innocence_880_AI899
887,Proofs_of_Fidelity_and_Innocence_880_AI899
887,L162
887,H461
887,H461
887,S446
887,S62
887,460
808A,Heaven_800_AI809
808A,Heaven_800_AI809
808A,E734.2
808A,E721
808A,E751.1
808A,E756.1
980,Other_Realistic_Tales_970_AI999
980,Other_Realistic_Tales_970_AI999
980,980A
980,980A
980,980B
980,980B
980,980C
980,980C
980,J121
980,J121.2
980,J121.1
1131,Man_Kills_(Injures)_Ogre_1115_AI1144
1131,Man_Kills_(Injures)_Ogre_1115_AI1144
1131,G512.3.1
1131,K1033
1131,K1033
1131,1776
1698B*,The_Stupid_Man_1675_AI1724
1698B*,The_Stupid_Man_1675_AI1724
1698B*,J2064
958C*,Robbers_and_Murderers_950_AI969
958C*,Robbers_and_Murderers_950_AI969
958C*,K311.1
745A,Other_Tales_of_the_Supernatural_700_AI749
745A,Other_Tales_of_the_Supernatural_700_AI749
745A,N212
745A,1117
745A,1248
745A,1325
745A,2394
2012,Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020
2012,Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020
2012,Z24
2012,Z24.1.2
2012,Z24.1.3
2012,Z24.1
2012,Z24.1.1
780,The_Truth_Comes_to_Light_780_AI799
780,The_Truth_Comes_to_Light_780_AI799
780,K2212
780,E631
780,E632
780,E632
780,N271
780,D1610.34
780,D1610.2
780,D1223.1
780,D1013
480A,Supernatural_Tasks_460_AI499
480A,Supernatural_Tasks_460_AI499
480A,1441
480A,1441
1441,194
1441,321
1208*,Stories_about_a_Fool_1200_AI1349
1208*,Stories_about_a_Fool_1200_AI1349
1833,Other_Jokes_about_Religious_Figures_1800_AI1849
1833,Other_Jokes_about_Religious_Figures_1800_AI1849
1833,1833**
1833,1833**
1833,X435
1833,X435
1833,J1321.1
1833,N275.5
2019*,Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020
2019*,Chains_Based_on_Numbers__Objects__Animals__or_Names_2000_AI2020
2019*,Z31.2
1241,Stories_about_a_Fool_1200_AI1349
1241,Stories_about_a_Fool_1200_AI1349
1241,J1973
1241,J1973
1241,J2131.5.3
1241,J2131.5.3
1525J1,1525J
1525J1,1525J
403C,Wife_400_AI424
403C,Wife_400_AI424
1621A*,The_Clever_Man_1525_AI1639
1621A*,The_Clever_Man_1525_AI1639
1621A*,J133.2
590A,318
590A,318
590A,1858
179A*,Wild_Animals_and_Humans_150_AI199
179A*,Wild_Animals_and_Humans_150_AI199
915A,Good_Precepts_910_AI919
915A,Good_Precepts_910_AI919
915A,H588.11
915A,H588.12
915A,H588.13
915A,H588.1
610,Magic_Objects_560_AI649
610,Magic_Objects_560_AI649
610,H346
610,H346
610,L13
610,L13
610,Q2
610,Q2
610,D1500.1.5
610,T68.1
610,L10
610,L10
610,N825.3
610,L161
610,H1199.2
610,N774.1
610,1932
610,2070
1065B*,1050
1065B*,1050
368C*,Supernatural_Adversaries_300_AI399
368C*,Supernatural_Adversaries_300_AI399
1426,The_Foolish_Husband_and_his_Wife_1405_AI1429
1426,The_Foolish_Husband_and_his_Wife_1405_AI1429
1426,1426*
1426,1426*
1426,F1034.2.1
1426,T382
1426,J882.2
1335A,Stories_about_a_Fool_1200_AI1349
1335A,Stories_about_a_Fool_1200_AI1349
1335A,J1791.2
910L,Good_Precepts_910_AI919
910L,Good_Precepts_910_AI919
910L,J215.1
1250A,Stories_about_a_Fool_1200_AI1349
1250A,Stories_about_a_Fool_1200_AI1349
1250A,J2133.6.1
2032A,2032
2032A,2032
ANIMAL_TALES_(1-299),Wild_Animals_and_Domestic_Animals_100_AI149
ANIMAL_TALES_(1-299),Wild_Animals_and_Domestic_Animals_100_AI149
ANIMAL_TALES_(1-299),Domestic_Animals_200_AI219
ANIMAL_TALES_(1-299),Domestic_Animals_200_AI219
ANIMAL_TALES_(1-299),Wild_Animals_1_AI99
ANIMAL_TALES_(1-299),Wild_Animals_1_AI99
ANIMAL_TALES_(1-299),Wild_Animals_and_Humans_150_AI199
ANIMAL_TALES_(1-299),Wild_Animals_and_Humans_150_AI199
ANIMAL_TALES_(1-299),Other_Animals_and_Objects_220_AI299
ANIMAL_TALES_(1-299),Other_Animals_and_Objects_220_AI299
1578A*,The_Clever_Man_1525_AI1639
1578A*,The_Clever_Man_1525_AI1639
750D,God_Rewards_and_Punishes_750_AI779
750D,God_Rewards_and_Punishes_750_AI779
750D,550A
750D,550A
750D,K1811.1
129A*,Wild_Animals_and_Domestic_Animals_100_AI149
129A*,Wild_Animals_and_Domestic_Animals_100_AI149
129A*,J1909.5
1675*,1268*
1675*,1268*
1335*,Stories_about_a_Fool_1200_AI1349
1335*,Stories_about_a_Fool_1200_AI1349
1335*,J1806
1688B*,1688A*
1688B*,1688A*
1326,Stories_about_a_Fool_1200_AI1349
1326,Stories_about_a_Fool_1200_AI1349
1326,J2328
1326,J2328
1326,2486
774D,God_Rewards_and_Punishes_750_AI779
774D,God_Rewards_and_Punishes_750_AI779
774D,L423
701,Other_Tales_of_the_Supernatural_700_AI749
701,Other_Tales_of_the_Supernatural_700_AI749
701,F531.5.1
701,F531.5.3
2034,Chains_Involving_Other_Events_2029_AI2075
2034,Chains_Involving_Other_Events_2029_AI2075
2034,Z41.4
2034,441
2034,2779
920A,Clever_Acts_and_Words_920_AI929
920A,Clever_Acts_and_Words_920_AI929
920A,K1921.1
920A,H1023.1.1
920A,J123
920A,J1191.2
1543D*,The_Clever_Man_1525_AI1639
1543D*,The_Clever_Man_1525_AI1639
1543D*,J1141.1.3.1
755,God_Rewards_and_Punishes_750_AI779
755,God_Rewards_and_Punishes_750_AI779
755,Q251
755,Q251
755,F1038
755,F1038
755,F971.2
755,F971.2
755,Q431.4
755,Q431.4
755,T572.1
755,T572.1
755,Q552.9
755,Q552.9
755,108
755,343
755,396
755,1112
755,1197
755,1315
755,1663
755,2242
755,2351
755,2391
755,2602
755,2641
275C,Other_Animals_and_Objects_220_AI299
275C,275A*
275C,275A*
275C,K11.1
729,Other_Tales_of_the_Supernatural_700_AI749
729,Other_Tales_of_the_Supernatural_700_AI749
729,Q3.1
1840B,Other_Jokes_about_Religious_Figures_1800_AI1849
1840B,Other_Jokes_about_Religious_Figures_1800_AI1849
1806A*,Other_Jokes_about_Religious_Figures_1800_AI1849
1806A*,Other_Jokes_about_Religious_Figures_1800_AI1849
1848D,Other_Jokes_about_Religious_Figures_1800_AI1849
1848D,Other_Jokes_about_Religious_Figures_1800_AI1849
1009,Labor_Contract_1000_AI1029
1009,Labor_Contract_1000_AI1029
1009,1014
1009,1014
1009,K1413
1009,K1413
1009,K1417
1009,552
1009,1236
1009,1515
1009,1717
1610,The_Clever_Man_1525_AI1639
1610,The_Clever_Man_1525_AI1639
1610,K187
1610,K187
1610,1798
1610,1905
1610,2004
1610,2651
1610,2829
1091A,Contest_between_Man_and_Ogre_1060_AI1114
1091A,Contest_between_Man_and_Ogre_1060_AI1114
1091A,K216.2.1
1091A,H522
1453A,Looking_for_a_Wife_1450_AI1474
875B,The_Woman_Marries_the_Prince_870_AI879
875B,The_Woman_Marries_the_Prince_870_AI879
875B,875B2
875B,875B2
875B,875B3
875B,875B3
875B,875B4
875B,875B4
875B,875B1
875B,875B1
875B,H1010
875B,H1021.2
875B,J1533
875B,H1021
875B,J2122
875B,H1024.1
875B,J2121
875B,H1024.1.1.1
875B,H1021.9
875B,H1023.25.1
875B,H951
875B,J1536.2
1305,Stories_about_a_Fool_1200_AI1349
1305,Stories_about_a_Fool_1200_AI1349
1305,J1061.4
1305,W153
1537,The_Clever_Man_1525_AI1639
1537,The_Clever_Man_1525_AI1639
1537,K2151
1537,K2151
1537,K2152
1537,167
1537,489
1537,588
1537,688
1537,708
1537,986
1537,1201
1537,1299
1537,1433
1537,1441
1537,1460
1537,1712
1537,2050
1537,2289
1537,2377
1537,2558
444B*,444*
444B*,444*
1453B*,Looking_for_a_Wife_1450_AI1474
1453B*,Looking_for_a_Wife_1450_AI1474
1592,The_Clever_Man_1525_AI1639
1592,The_Clever_Man_1525_AI1639
1592,J1531.2
1458*,Looking_for_a_Wife_1450_AI1474
1458*,Looking_for_a_Wife_1450_AI1474
1086,Contest_between_Man_and_Ogre_1060_AI1114
1086,Contest_between_Man_and_Ogre_1060_AI1114
1086,K17.1
1086,K17.1
1831A*,Other_Jokes_about_Religious_Figures_1800_AI1849
1831A*,Other_Jokes_about_Religious_Figures_1800_AI1849
1831A*,1831A
1831A*,1831A
403A,403
403A,403
403A,4
403A,602
403A,1407
403A,1477
403A,1765
403A,2122
403A,2326
403A,2350
403A,2378
403A,2638
326A*,Supernatural_Adversaries_300_AI399
326A*,Supernatural_Adversaries_300_AI399
1016,Labor_Contract_1000_AI1029
1016,Labor_Contract_1000_AI1029
1016,K1443
1016,K1443
766,God_Rewards_and_Punishes_750_AI779
766,God_Rewards_and_Punishes_750_AI779
766,D1960.1
1409,The_Foolish_Husband_and_his_Wife_1405_AI1429
